id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48131703,GuestReady Maison Labruyère Bordeaux Aviau Suite,384683515,Maison Labruyere,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85173,-0.57996,Entire home/apt,201,1,29,2022-08-03,1.59,8,330,18,3306300423396
47823879,Studio indépendant,48880256,Rémi,Villenave-d'Ornon,Villenave-d'Ornon,44.76531,-0.58891,Entire home/apt,69,2,3,2022-06-06,0.28,1,334,3,
48153820,Appartement proche de la Cité du Vin,134412220,Celia,Bordeaux,Bordeaux Maritime,44.86922,-0.5544,Private room,39,2,27,2021-09-10,1.41,1,40,0,
48163890,Joli Studio indépendant proche centre et chateau.,38578078,Thomas,Pessac,Le Monteil,44.80606,-0.64844,Entire home/apt,45,2,16,2022-08-18,0.89,1,0,8,
47532979,Location d’une maison individuelle avec jardin,367242556,Clement,Merignac,La Glacire,44.83424,-0.63519,Private room,70,1,0,,,1,359,0,
47828894,Maison proche Bordeaux,72443106,Eric Et Anne-Sophie,Eysines,Eysines,44.86396,-0.64455,Private room,90,2,14,2022-04-24,0.74,2,92,11,
47559391,"AppartementT3 rénové avec balcon,",45162345,Clémence,Bgles,Bgles,44.80673,-0.53881,Entire home/apt,57,2,60,2022-08-22,3.05,1,0,39,
47831578,Chambre a louer dans t2 proche centre ville,28769101,Caroline,Cenon,Gambetta-Mairie-Lissandre,44.85717,-0.5348,Private room,30,1,2,2021-03-19,0.10,2,33,0,
48166160,Cosy appartement quartier « Fondaudege » Bordeaux,9477089,Stephane,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85024,-0.58479,Entire home/apt,71,2,22,2022-08-19,1.18,2,249,16,330630053461C
47858045,Grande chambre avec salle de bain privative,385749670,Souhed,Talence,Talence,44.81583,-0.59615,Entire home/apt,55,4,22,2022-09-09,1.17,1,14,8,
48177523,*PAUL* adorable T2 coeur des Chartrons rénové,17832583,Albane,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85398,-0.57409,Entire home/apt,44,30,2,2021-07-16,0.13,18,0,0,"Available with a mobility lease only (""bail mobilité"")"
47561222,Agréable T3 au calme et indépendant,67607083,Marie-Pierre,Pessac,Chiquet-Fontaudin,44.80071,-0.62351,Entire home/apt,80,3,25,2021-10-01,1.23,1,0,1,
47571367,Appartement T2 luxe place du Parlement hypercentre,154781125,Villa Reale,Bordeaux,Centre ville (Bordeaux),44.83975,-0.57305,Entire home/apt,330,1,3,2022-03-06,0.17,3,114,1,330630025240B
