id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1944655,Quiet room near public transports,10058451,Stephane,,3e Arrondissement,45.75285,4.87108,Private room,31,2,20,2015-09-11,0.19,1,0,0,
1947637,"Appartment in Lyon, Croix Paquet",10072333,Maxime & Chloé,,1er Arrondissement,45.77168,4.83494,Entire home/apt,80,2,43,2018-07-17,0.40,1,0,0,6938112480016
1949220,Lyon red cross holiday period,9032736,Anne,,4e Arrondissement,45.77589,4.83494,Entire home/apt,112,3,91,2022-08-17,0.96,1,14,6,6938413097565
1951381,Grand appartement au coeur de Lyon,8050592,Aurore,,2e Arrondissement,45.75355,4.83184,Entire home/apt,150,365,0,,,1,0,0,
1951583,bel appartement avec jardin (jusqu'à 6 personnes),9211671,Stephane,,4e Arrondissement,45.77913,4.83461,Entire home/apt,120,2,57,2021-12-12,0.53,1,206,1,6938412666114
1953871,Quiet appartment city center Lyon,8826693,Dulcie,,2e Arrondissement,45.75118,4.83037,Entire home/apt,90,365,16,2017-10-22,0.23,2,0,0,
1958003,Chambre dans appartement. Petit déjeuner compris,10120015,Florence,,2e Arrondissement,45.75769,4.82993,Private room,71,2,4,2019-11-22,0.04,2,278,0,
1958078,"Charmant appartement, vue Fourvière",10120015,Florence,,2e Arrondissement,45.75937,4.83016,Entire home/apt,100,2,106,2022-09-10,0.99,2,287,17,6938212563428
1958363,85 m2  centre de lyon rue piètonne,6183392,Marie-Helene,,2e Arrondissement,45.76208,4.83373,Entire home/apt,150,3,20,2022-06-06,0.20,1,261,10,6938212661418
1958504,"Small bedroom, in Lyon center",1760477,Sabrina,,1er Arrondissement,45.77138,4.83657,Private room,41,3,73,2022-08-19,0.68,1,192,6,
1977980,Joli appartement T2 au cœur de Lyon,10209433,Élise,,1er Arrondissement,45.76937,4.83552,Entire home/apt,55,365,18,2018-09-20,0.29,1,0,0,
1980953,Fête des Lumières Croix Rousse,10222830,Christel,,4e Arrondissement,45.77393,4.82344,Entire home/apt,150,365,0,,,1,0,0,
1982379,Maison de charme dans joli village,10194566,Véronique,,9e Arrondissement,45.81644,4.81473,Entire home/apt,180,4,94,2022-08-19,0.94,1,334,9,
1983195,Charming B&B in Lyon Center,10232768,Emmanuel,,9e Arrondissement,45.79966,4.82988,Entire home/apt,70,2,111,2022-08-13,1.06,1,179,25,6938912978256
1984468,"Bright apartment, Center.",10239011,Mathias,,1er Arrondissement,45.77201,4.83533,Entire home/apt,100,365,4,2021-09-25,0.04,1,362,1,
1996196,Appartement de 50m² à bellecour,10287574,Elodie,,2e Arrondissement,45.76078,4.83172,Entire home/apt,200,365,0,,,1,0,0,
1998671,Fête des lumières à la Croix Rousse,10297111,Sonia,,1er Arrondissement,45.77386,4.8269,Entire home/apt,86,365,0,,,1,0,0,
2000033,Beau T2 saxe gambetta modern/retro,10296185,Carole,,7e Arrondissement,45.7506,4.8424,Entire home/apt,90,32,14,2022-08-25,0.21,1,100,2,"Available with a mobility lease only (""bail mobilité"")"
2004588,Charme d'antan Vieux Lyon parking,10320725,Anne Sophie,,5e Arrondissement,45.7646,4.82801,Entire home/apt,95,365,12,2015-12-31,0.12,1,0,0,
2005196,Charming loft 2r - Vieux Lyon-old town - Nice view,2540768,Celine,,5e Arrondissement,45.7669,4.82324,Entire home/apt,83,5,107,2022-03-26,1.38,1,0,12,6938513015186
2007559,Room with breakfast twenty meters from the metro,10332810,Thierry,,9e Arrondissement,45.77611,4.80626,Private room,35,3,87,2022-09-03,1.20,2,26,9,
2009217,Appartement Vieux Lyon. St Jean,10340347,Anne,,5e Arrondissement,45.76384,4.82775,Entire home/apt,70,365,1,2013-12-09,0.01,1,365,0,
2009456,Idéal fête lumières vue sur Lyon,10341579,Axelle,,3e Arrondissement,45.75718,4.85536,Shared room,95,1,0,,,1,0,0,
2009737,Ozanam apartment with terrace,5931758,2beapart,,1er Arrondissement,45.77359,4.82784,Entire home/apt,148,2,30,2022-08-03,0.29,47,334,2,0693811800241
2010527,BEAUTIFUL ROOMS WITH AMAZING VIEW !,4482766,Béatrice,,1er Arrondissement,45.77035,4.83085,Private room,35,1,6,2018-09-21,0.08,1,0,0,
2013519,"Lyon centre, grand appartement au calme",7995669,Laurence,,7e Arrondissement,45.75384,4.83834,Entire home/apt,100,1,44,2022-03-24,0.41,1,286,5,6938713105303
2014394,Appart à louer dans le Vieux Lyon,10125155,Nicolas,,5e Arrondissement,45.76559,4.82645,Entire home/apt,130,365,0,,,1,0,0,
2017746,Duplex de 43m2 3pers Centre Ville,10114815,Catherine,,4e Arrondissement,45.77445,4.83912,Entire home/apt,70,7,47,2022-07-10,0.45,1,110,6,6938113060729
2018496,Charmant triplex de 55m² ! 2 Pers.,9993714,Gabriel,,6e Arrondissement,45.76403,4.87044,Entire home/apt,99,1,378,2022-07-09,4.71,1,354,8,
2020878,Au coeur de lyon 6  avec petit déjeuner,10346274,Celine,,6e Arrondissement,45.76625,4.85209,Private room,39,1,82,2019-07-08,0.77,1,48,0,
2023674,Welcome in my sweet home (Lyon 9è),10399593,Florence,,9e Arrondissement,45.77378,4.80416,Entire home/apt,69,5,52,2022-07-14,0.50,1,324,5,6938912899765
2025403,Easy Lyon:spacious quiet guestsuite,10277287,Sabine,,5e Arrondissement,45.73799,4.76665,Private room,55,5,139,2022-01-28,1.36,1,91,1,
2055514,Vieux Lyon quiet  view St Jean and roofs,7212199,Emma,,5e Arrondissement,45.75901,4.82386,Entire home/apt,76,2,143,2022-08-25,1.35,4,278,25,6938512407254
2088942,STUDIO SOPHIE,10662283,Sophie,,3e Arrondissement,45.75507,4.87533,Entire home/apt,45,365,51,2019-10-31,0.55,1,364,0,
2094493,Studio équipé centre Ecully,10686594,Edouard,,9e Arrondissement,45.77591,4.77605,Private room,64,1,14,2022-07-26,0.17,1,181,3,
2107597,Jolie chambre tout en couleur,10745109,Christiane,,5e Arrondissement,45.754608,4.780633,Shared room,46,1,21,2022-07-10,0.22,1,360,7,
2134046,Grande chambre verte et pièces attenantes,10889282,Stéphanie,,9e Arrondissement,45.77332,4.80863,Private room,45,1,9,2016-01-29,0.09,2,0,0,
2137514,Dans une résidence privée au calme.,10908267,Veronique,,4e Arrondissement,45.78986,4.82392,Private room,40,2,12,2022-08-17,0.14,3,10,2,0000
2152784,"Loft Jeanne d'Arc 
Maison individuelle
Clim.",10987350,Sophie,,3e Arrondissement,45.75143,4.88444,Entire home/apt,75,2,53,2022-08-29,0.55,1,277,11,0690106938314
2174179,LYON centre coeur de la presqu'ile,11090776,Delphine,,2e Arrondissement,45.76287,4.83599,Private room,140,2,0,,,2,90,0,
2194982,"studio peniche, LE COLVERT, centre de LYON",11195394,Yves,,2e Arrondissement,45.74934768676758,4.820150852203369,Entire home/apt,126,1,6,2021-09-30,0.29,3,323,1,6938212475633
2201131,"Confortable room near Part Dieu Station, 3eme arr.",11229058,Yo,,3e Arrondissement,45.75867,4.87406,Private room,19,5,69,2022-07-15,0.85,3,2,7,
2202777,Wonderful 90m² flat perfectly located near Opera,3945197,Quentin,,1er Arrondissement,45.76494,4.83311,Entire home/apt,120,2,38,2022-08-12,0.39,1,94,10,6938113000252
2208241,Appartement Lyon Centre,11263808,Amaury,,7e Arrondissement,45.74982,4.84152,Entire home/apt,273,365,11,2017-02-14,0.15,1,362,0,
2216501,2 pièces moderne calme avec parking,11306631,Christine Et Lionel,,7e Arrondissement,45.74844,4.84519,Entire home/apt,95,365,6,2018-04-03,0.09,1,364,0,
2255579,Beau deux pièces en RDJ,5495624,Thomas,,9e Arrondissement,45.77285,4.80027,Entire home/apt,78,3,33,2022-07-13,0.35,1,345,4,6938912586989
2259937,Douillet appartement à Lyon Vaise  à 20 m du métro,10332810,Thierry,,9e Arrondissement,45.7749,4.80608,Entire home/apt,75,5,96,2022-06-30,1.04,2,69,3,6938912918670
2276120,"Small group, parking, breakfast, garden",11621936,Celine,,4e Arrondissement,45.78076,4.8292,Private room,179,1,53,2022-06-26,0.54,1,127,19,GE01365/HO02861
2300580,peaceful room near LYON,11725785,Odile,,5e Arrondissement,45.72579,4.78462,Private room,50,1,33,2022-09-06,0.34,1,326,16,
2302128,Studio Vintage 70's,10986983,Marlene,,8e Arrondissement,45.73998,4.87827,Entire home/apt,59,2,313,2022-07-09,2.99,1,164,16,6938812348476
2309213,"In Old Lyon. Room, bathroom and private WC",11411984,Claude Thierry,,5e Arrondissement,45.76311,4.8276,Private room,71,2,181,2021-12-12,1.76,1,4,2,6938512618674
2352534,T2 cosy  sur les Pentes de la Croix Rousse,12014823,Giovanna Et Yohann,,1er Arrondissement,45.77203,4.82518,Entire home/apt,60,365,4,2020-08-03,0.09,1,87,0,
2383043,Confluence,8131697,Claire,,2e Arrondissement,45.74337,4.8206,Entire home/apt,90,5,32,2022-07-31,0.31,2,270,5,6938612620528
2391835,Vibrant Flat with Gorgeous View of Saône River,402191311,GuestReady,,2e Arrondissement,45.74967,4.82316,Entire home/apt,110,2,45,2022-06-05,0.47,34,314,13,6938212659933
2391982,Amazing Artistic Flat Fit 4 - Vieux Lyon,402191311,GuestReady,,5e Arrondissement,45.76341,4.82828,Entire home/apt,96,2,111,2022-09-11,1.14,34,210,37,6938512563840
2400825,"Center old town, Saint Jean",7068319,Malio,,5e Arrondissement,45.76242,4.8287,Entire home/apt,72,2,157,2022-09-06,1.51,2,30,16,6938512556714
2415502,LE JARDIN DES PLANTES/PLANTS GARDEN,5720068,David,,1er Arrondissement,45.77157,4.8274,Entire home/apt,58,365,33,2020-01-02,0.32,1,179,0,
2427874,LE CHAMPETRE - close to Part Dieu,4156965,Emilie,,6e Arrondissement,45.76659,4.86755,Entire home/apt,59,28,30,2022-06-05,0.29,17,171,2,6938612382382
2446767,Terrace Heart Strirring View Fourvière/Vieux Lyon,12511374,Isabelle,,5e Arrondissement,45.75984,4.8187,Entire home/apt,72,3,148,2022-09-10,1.45,1,324,22,6938513023403
